feature,mean_abs_shap_log_odds_validation,rank,gain_share
cognitive_status,0.28538,1,0.53928
age,0.14136,2,0.15449
bowel_incontinence,0.05891,3,0.06117
independence_level,0.02583,4,0.02261
cancer_recent,0.02299,5,0.01342
bmi,0.02123,6,0.02152
hypertension,0.01584,7,0.00702
hearing_normal_1yes,0.01476,8,0.00776
parkinsonism_pd,0.01416,9,0.03771
bp_systolic,0.01404,10,0.01311
weight_lb,0.01041,11,0.01920
education_years,0.01031,12,0.01565
rheumatoid_arthritis,0.01000,13,0.00987
urinary_incontinence,0.00783,14,0.00931
obesity_bmi30plus,0.00662,15,0.00508
bp_diastolic,0.00570,16,0.00874
education_level,0.00552,17,0.00179
smoking_years,0.00522,18,0.01221
sleep_apnea,0.00405,19,0.00480
marital_status,0.00402,20,0.00211
sleep_apnea_clinician,0.00401,21,0.00468
height_in,0.00334,22,0.00532
arthritis_any,0.00234,23,0.00297
depression,0.00216,24,0.00144
osteoarthritis,0.00175,25,0.00081
smoking_quit_age,0.00155,26,0.00342
type_2_diabetes,0.00130,27,0.00220
thyroid_disease,0.00127,28,0.00271
smoking_ever_100cigs,0.00118,29,0.00050
smoking_packs_per_day_category,0.00104,30,0.00041
vision_normal_1yes,0.00097,31,0.00180
stroke,0.00088,32,0.00189
seizures_epilepsy,0.00082,33,0.00278
ethnicity_hispanic,0.00071,34,0.00058
alcohol_frequency_3mo,0.00070,35,0.00040
traumatic_brain_injury,0.00068,36,0.00051
alcohol_abuse_history,0.00044,37,0.00073
alcohol_frequency_12mo,0.00000,38,0.00000
alcohol_drinks_per_occasion,0.00000,39,0.00000
alcohol_binge_frequency,0.00000,40,0.00000
anxiety,0.00000,41,0.00000
hyperlipidemia,0.00000,42,0.00000
bp_systolic_avg,0.00000,43,0.00000
chronic_kidney_disease,0.00000,44,0.00000
copd_asthma_combined,0.00000,45,0.00000
bp_diastolic_avg,0.00000,46,0.00000
living_situation,0.00000,47,0.00000
major_depressive_disorder,0.00000,48,0.00000
migraine_chronic_headache,0.00000,49,0.00000
sex,0.00000,50,0.00000
physical_activity_hrs_wk,0.00000,51,0.00000
race,0.00000,52,0.00000
residence_type,0.00000,53,0.00000
peripheral_vascular_disease,0.00000,54,0.00000
smoking_current_30days,0.00000,55,0.00000
smoking_status_derived,0.00000,56,0.00000
vitamin_b12_deficiency,0.00000,57,0.00000
